date,stock,weight
2023-01-12,000739.SZ,0.19279010970062355
2023-01-12,300487.SZ,0.12591605381505264
2023-01-19,688321.SH,0.19057995833750085
2023-01-19,002595.SZ,0.20591857814366932
2023-01-19,002384.SZ,0.058229190825938984
2023-01-19,601198.SH,0.43964460074257383
2023-01-19,600155.SH,0.10562767195031705
2023-01-30,600536.SH,0.02163605141087218
2023-01-30,600885.SH,0.07032303903314682
2023-01-30,000878.SZ,0.17497628513951494
2023-01-30,300296.SZ,0.5612158186398705
2023-01-30,601699.SH,0.17184880577659556
2023-02-02,600968.SH,0.11409475997306166
2023-02-02,600862.SH,0.08033142342978108
2023-02-02,000066.SZ,0.052267740447947804
2023-02-02,000830.SZ,0.34274392493751954
2023-02-02,601106.SH,0.41056215121168993
2023-02-09,300017.SZ,0.4291112049742089
2023-02-09,601872.SH,0.07145161652065336
2023-02-09,300308.SZ,0.18034557442544266
2023-02-09,300418.SZ,0.13682968970326195
2023-02-09,601717.SH,0.18226191437643324
2023-02-16,600498.SH,0.22764382992071286
2023-02-16,002815.SZ,0.20127618041266115
2023-02-16,002745.SZ,0.1588443606600165
2023-02-16,002078.SZ,0.32295359839386883
2023-02-16,603160.SH,0.08928203061274063
2023-02-23,600398.SH,0.22263730876004806
2023-02-23,600535.SH,0.17215441548632088
2023-02-23,600998.SH,0.21070079388403354
2023-02-23,603858.SH,0.00024148546929558297
2023-02-23,601577.SH,0.39426599640030197
2023-03-02,603826.SH,0.02450495031844206
2023-03-02,600118.SH,0.06377845739088261
2023-03-02,600177.SH,0.7045095721018044
2023-03-02,002563.SZ,0.1469247199475307
2023-03-02,001965.SZ,0.06028230024134014
2023-03-09,600642.SH,0.34141027874138924
2023-03-09,600528.SH,0.265457540794345
2023-03-09,601000.SH,0.17471347273369756
2023-03-09,600970.SH,0.10558713411155993
2023-03-09,000028.SZ,0.11283157361900838
2023-03-16,600970.SH,0.23016198037885038
2023-03-16,600161.SH,0.1950509475254752
2023-03-16,600037.SH,0.3153227621556157
2023-03-16,002439.SZ,0.11990157831289261
2023-03-16,300037.SZ,0.13956273162716615
2023-03-23,600848.SH,0.5693617209547428
2023-03-23,688002.SH,0.16076621143649536
2023-03-23,600895.SH,0.05372582141995915
2023-03-23,600171.SH,0.16305068639731163
2023-03-23,600563.SH,0.053095559791490964
2023-03-30,002065.SZ,0.08667754773636245
2023-03-30,600839.SH,0.12320678402858029
2023-03-30,601108.SH,0.1477565873112818
2023-03-30,603156.SH,0.2325591354098611
2023-03-30,000783.SZ,0.40979994551391447
2023-04-06,603786.SH,0.205276025571303
2023-04-06,000021.SZ,0.17479293827856918
2023-04-06,000423.SZ,0.269347339353767
2023-04-06,600521.SH,0.16665984567906653
2023-04-06,002056.SZ,0.18392385111729434
2023-04-13,000623.SZ,0.517491634080586
2023-04-13,600153.SH,0.18408511469275132
2023-04-13,600489.SH,0.2067083037590835
